DATE,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,Target
2000-02-18,29.034757614135742,30.561898054063988,28.977489847638434,30.542808798564884,79063000,31.629588806541754,-0.8665847713680463,-0.21835874252133414,-0.6482260288467122,1.3149197677578208,28.692146289283812,30.989486312866212,33.28682633644861,14.826576990587874,0.07456696034000065,0
2000-02-22,28.652956008911133,29.66468596791999,28.347528096757518,29.053830143612757,66296200,30.545663917167314,-0.9667032497531629,-0.25478177672516056,-0.7119214730280023,1.3150796322867244,28.351641299389247,30.87590503692627,33.400168774463296,16.351026695529168,0.059683682224085884,1
2000-02-23,28.786592483520508,29.244734538961154,28.11846865266957,28.557521455800188,75847200,31.43139704334368,-1.0234666322826023,-0.24923612740367984,-0.7742305048789224,1.3015929361442145,28.069198955748416,30.74514417648316,33.421089397217905,17.4072705944997,0.13404488294702735,1
2000-02-24,28.939308166503906,29.28291472784762,28.099381016552602,28.78659413924003,69733200,32.490916766325796,-1.0440934828322597,-0.21589038236266977,-0.8282031004695899,1.2931601343692718,27.88280277255645,30.67451496124268,33.46622714992891,18.202160276787204,0.18922176115236372,0
2000-02-25,27.8893985748291,28.924990547919094,27.641238286346706,28.920218234679048,65301400,29.155451216516546,-1.1321090911989842,-0.24312479258351538,-0.8889842986154688,1.2935108304969811,27.508582207946347,30.560934162139894,33.61328611633344,19.975514740481476,0.06238080873333774,1
2000-02-28,27.96574592590332,28.13754914319556,26.915837375784083,27.564871752221432,76131800,29.72045349319454,-1.1820752738370928,-0.2344727801772991,-0.9476024936597937,1.2883823259908738,27.198970067540593,30.458806705474856,33.71864334340912,21.404887390734974,0.11760955279780956,0
2000-02-29,27.29763412475586,28.023025800798322,27.144920087694288,28.023025800798322,58437400,27.64283325952349,-1.2610482925329904,-0.2507566390985574,-1.010291653434433,1.2590768536418138,26.78045592141843,30.329000091552736,33.87754426168704,23.400337363068232,0.07287188471404255,1
2000-03-01,27.736682891845703,28.738868612301243,27.16400533729968,27.37398710729989,106889800,31.0537392827492,-1.2735269862444554,-0.21058826624801785,-1.0629387199964375,1.2816330265960816,26.455649694882023,30.143834400177006,33.832019105471986,24.470574355818012,0.173667169532555,1
2000-03-02,28.51933479309082,29.130190692273487,27.832121906510316,28.04210362185436,106932600,36.77531248233535,-1.2063568426285336,-0.11473449810567682,-1.0916223445228568,1.2896240818697746,26.28648442412851,30.0302529335022,33.77402144287589,24.93331320028335,0.29820892549468186,1
2000-03-03,29.359275817871094,30.199203084442175,28.672062599767475,28.93931218458555,101435200,42.308569941978114,-1.0729791629740006,0.014914545239084864,-1.0878937082130855,1.3174986682613161,26.241070500655965,29.915718078613285,33.590365656570604,24.566668052566794,0.4242863092395504,0
