DATE,Close,High,Low,Open,Volume
2004-08-19,2.492180585861206,2.5845756286121926,2.3833927177534813,2.483736420885526,893181924
2004-08-20,2.690134048461914,2.7092594852575287,2.496154641777937,2.5088219544888006,456686856
2004-08-23,2.717207431793213,2.818543803647125,2.708514331099461,2.750738233475586,365122512
2004-08-24,2.6046934127807617,2.7718495399358525,2.572405397341677,2.7629079775983,304946748
2004-08-25,2.632760524749756,2.6824352159139915,2.580105470430996,2.6069296853443533,183772044
2004-08-26,2.680198907852173,2.6811925199357978,2.599477805387151,2.60668036899786,141897960
2004-08-27,2.6364855766296387,2.697834210528641,2.625061047318626,2.6849186712924276,124235640
2004-08-30,2.5336594581604004,2.620093305547175,2.5336594581604004,2.6148777289987906,103935960
2004-08-31,2.542600631713867,2.57588225987394,2.5373850554790387,2.540861869671604,98357544
2004-09-01,2.489945411682129,2.557502985477289,2.4755393384604276,2.55079663657492,182765052
2004-09-02,2.521240472793579,2.542600887406688,2.4574086376881734,2.4636178266616633,302373324
2004-09-03,2.4839844703674316,2.5269528084437782,2.4668460230270517,2.507331159170556,103048848
2004-09-07,2.522979259490967,2.5334113596335484,2.4740499507085345,2.508822119189502,116950932
2004-09-08,2.5408623218536377,2.558993202385704,2.496154974630751,2.5021159384850895,99712188
2004-09-09,2.5411102771759033,2.551045216801586,2.5085742668457267,2.5465750263890867,81234684
2004-09-10,2.616118907928467,2.6466691053611684,2.516024151613584,2.523475886769877,173977848
2004-09-13,2.670016288757324,2.6926185407987595,2.64418544780655,2.6484074122832744,156882960
2004-09-14,2.7691173553466797,2.781784668121256,2.6523812957593176,2.6687745949896304,216579204
2004-09-15,2.781784772872925,2.8371722048922337,2.7370774297032168,2.746018992989428,214261524
2004-09-16,2.830713987350464,2.8761664790170425,2.773091343879428,2.7902288466332967,185326488
2004-09-17,2.9181413650512695,2.9181413650512695,2.820282755683132,2.841890447753842,189450360
2004-09-20,2.964587450027466,3.0202228672811917,2.9002584590141556,2.904729595304946,212575212
2004-09-21,2.926835060119629,2.9909158337875845,2.9186388829532657,2.9757643707866825,144575280
2004-09-22,2.940246105194092,2.972287078456085,2.90125174026042,2.915906039829431,151624224
2004-09-23,3.0008504390716553,3.045805768945425,2.90646745980472,2.9516719617659994,170713116
2004-09-24,2.9762613773345947,3.0823171168513466,2.97452261512391,3.0038309808191745,182469348
2004-09-27,2.9372658729553223,3.0023400146958057,2.9258411079986772,2.9695548365772253,141322536
